Repository,Routing Accuracy (%)
Public Documentation,44.827586206896555
Public Documentation | Architecture Blueprint | Methodology | SME,85.36585365853658
Public Documentation | Commercial Model | Pricing Template | SME,100.0
Public Documentation | Governance Framework | Risk Register | SME,97.36842105263158
