Algorithm,Default F1,Tuned F1,Improvement
Decision Tree,0.7917164846966172,0.7919087974172719,0.00019231272065478588
Random Forest,0.7658624169040835,0.7658624169040835,0.0
XGBoost,0.8082118761810562,0.7900880023777087,-0.018123873803347457
