Question Intent,Recommended Repository
Assess business rationale,Public Documentation | Architecture Blueprint | Methodology | SME
Determine implementation approach,Public Documentation | Architecture Blueprint | Methodology | SME
Determine timing / applicability,Public Documentation | Architecture Blueprint | Methodology | SME
Estimate commercial impact,Public Documentation | Commercial Model | Pricing Template | SME
Evaluate options / fit,Public Documentation | Architecture Blueprint | Methodology | SME
Request presales guidance,Public Documentation | Architecture Blueprint | Methodology | SME
Understand capability / terminology,Public Documentation
