Model,Accuracy,Balanced Accuracy,Precision,Recall,F1,ROC_AUC
XGBoost,0.8388888888888889,0.8189046522951619,0.8000699199099213,0.8189046522951619,0.8082118761810562,0.9474298691918421
Decision Tree (Tuned),0.8611111111111112,0.7946943258877001,0.8436367908407382,0.7946943258877001,0.7919087974172719,0.9078390737625616
Decision Tree,0.7888888888888889,0.7992593753435925,0.8017657837747794,0.7992593753435925,0.7917164846966172,0.8643739685937059
XGBoost (Tuned),0.8388888888888889,0.7971731891518319,0.7921383378932969,0.7971731891518319,0.7900880023777087,0.9385051384787917
Random Forest (Tuned),0.8111111111111111,0.7804437179521962,0.7553193728296328,0.7804437179521962,0.7658624169040835,0.9481084372508203
Random Forest,0.8111111111111111,0.7804437179521962,0.7553193728296328,0.7804437179521962,0.7658624169040835,0.9481084372508203
